pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
8557151,1,0,1,1,0,11,8,0,0,1,5,5,2,2,0,0,0,0,5,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,3,0,10,2,0,1,2,2,1,1,2,2
7525577,1,0,1,5,0,1,4,0,0,1,4,4,2,2,0,0,0,0,4,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,1,0,1,2,3
3501949,1,0,1,1,0,7,29,0,0,1,8,1,14,4,1,1,1,1,16,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,15,0,1,0,0,0,3,5,1,1,2,2
1686086,1,0,1,6,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,1
3299953,3,0,2,2,0,1,6,0,0,2,2,2,2,2,0,0,0,0,0,0,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,9,2,2,9,1,0,0,0,0,0,0,0,0,0,2,9,4,0,1,0,0,0,0,2,0,1,2,2
2225594,2,0,1,6,0,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3
1944419,1,0,2,1,0,6,9,0,0,1,4,4,4,4,0,0,0,0,0,0,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,4,1,4,7,1,1,3,1,1,1,1,2
5130106,1,0,1,1,0,4,8,0,0,1,6,6,3,3,0,0,0,0,9,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,3,0,0,0,0,2,0,1,2,3
8593105,3,0,2,1,0,1,4,0,0,2,2,2,3,3,0,0,0,0,3,4,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,8,0,4,0,0,0,1,5,1,1,2,3
3804575,3,0,4,7,0,3,27,0,0,1,14,12,18,16,1,1,1,1,0,0,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,36,0,6,0,0,0,0,10,1,1,2,2
